_id,GRUPOSERVICO_CODIGO,GRUPOSERVICO_DESCRICAO,SERVICO_CODIGO,SERVICO_DESCRICAO,LOGRADOURO,NUMERO,BAIRRO,RPA,DATA_DEMANDA,SITUACAO,DATA_ULT_SITUACAO
141,20,LIMPEZA URBANA,3,REMOÇÃO DE ENTULHOS,RUA PADRE CARLOS LEONCIO,S/N,IMBIRIBEIRA,6,2021-04-09T00:00:00,PREPARAÇÃO,2021-04-09T00:00:00
142,20,LIMPEZA URBANA,3,REMOÇÃO DE ENTULHOS,RUA PROFESSOR HENRIQUE DE LUCENA,60,JARDIM SAO PAULO,5,2021-04-09T00:00:00,CADASTRADA,2021-04-09T00:00:00
143,20,LIMPEZA URBANA,41,CAPINAÇÃO EM VIA PAVIMENTADA,RUA  MANOEL INACIO,52,JARDIM SAO PAULO,5,2021-04-09T00:00:00,PREPARAÇÃO,2021-04-09T00:00:00
144,20,LIMPEZA URBANA,41,CAPINAÇÃO EM VIA PAVIMENTADA,RUA ARQUITETO FERNANDO ALMEIDA,SN,IMBIRIBEIRA,6,2021-04-09T00:00:00,PREPARAÇÃO,2021-04-09T00:00:00
145,20,LIMPEZA URBANA,41,CAPINAÇÃO EM VIA PAVIMENTADA,RUA DR LUIZ INACIO PESSOA DE MELO,S/N,BOA VIAGEM,6,2021-04-09T00:00:00,PREPARAÇÃO,2021-04-09T00:00:00
146,20,LIMPEZA URBANA,141,CAPINAÇÃO EM VIA NÃO PAVIMENTADA,RUA  JURUMIRIM,SN,AGUA FRIA,2,2021-04-09T00:00:00,CADASTRADA,2021-04-09T00:00:00
147,20,LIMPEZA URBANA,141,CAPINAÇÃO EM VIA NÃO PAVIMENTADA,RUA  MARCOS SANTANA,S/N,IBURA,6,2021-04-09T00:00:00,PREPARAÇÃO,2021-04-09T00:00:00
148,20,LIMPEZA URBANA,141,CAPINAÇÃO EM VIA NÃO PAVIMENTADA,RUA SAO MARCOS,SN,IBURA,6,2021-04-09T00:00:00,PREPARAÇÃO,2021-04-09T00:00:00
149,21,LUMINÁRIAS,10,IMPLANTACAO DE LUMINARIAS,RUA  MANOEL INACIO,44A,JARDIM SAO PAULO,5,2021-04-09T00:00:00,EXECUÇÃO,2021-04-09T00:00:00
150,21,LUMINÁRIAS,10,IMPLANTACAO DE LUMINARIAS,RUA  PIRAGIBE,22,BARRO,5,2021-04-09T00:00:00,EXECUÇÃO,2021-04-09T00:00:00
151,21,LUMINÁRIAS,242,POSICIONAR LUMINARIA,RUA PRINCIPE BEIRA,246,JIQUIA,5,2021-04-09T00:00:00,EXECUÇÃO,2021-04-09T00:00:00
152,22,MACRODRENAGEM,11,LIMPEZA DE CANAL,RUA  NOVA DESCOBERTA,1900,NOVA DESCOBERTA,3,2021-04-09T00:00:00,CADASTRADA,2021-04-09T00:00:00
153,25,PAVIMENTAÇÃO,71,RECAPEAMENTO ASFALTICO,RUA  SEVERINA SILVA REGO,86,ESTANCIA,5,2021-04-09T00:00:00,CADASTRADA,2021-04-09T00:00:00
154,25,PAVIMENTAÇÃO,74,RECUPERAÇÃO DE PAVIMENTO PARALELEPIPEDO,AV  DEZESSETE DE AGOSTO,S/N,CASA FORTE,3,2021-04-09T00:00:00,CADASTRADA,2021-04-09T00:00:00
155,25,PAVIMENTAÇÃO,74,RECUPERAÇÃO DE PAVIMENTO PARALELEPIPEDO,RUA  CORREGO DA BICA,S/N,PASSARINHO,3,2021-04-09T00:00:00,CADASTRADA,2021-04-09T00:00:00
156,25,PAVIMENTAÇÃO,74,RECUPERAÇÃO DE PAVIMENTO PARALELEPIPEDO,RUA  ISAAC SALAZAR,189,TAMARINEIRA,3,2021-04-09T00:00:00,CADASTRADA,2021-04-09T00:00:00
157,25,PAVIMENTAÇÃO,74,RECUPERAÇÃO DE PAVIMENTO PARALELEPIPEDO,RUA  PIRIZAL,180,VASCO DA GAMA,3,2021-04-09T00:00:00,CADASTRADA,2021-04-09T00:00:00
158,25,PAVIMENTAÇÃO,74,RECUPERAÇÃO DE PAVIMENTO PARALELEPIPEDO,RUA  SITIO SAPUCAIA,S/N,SITIO DOS PINTOS,3,2021-04-09T00:00:00,CADASTRADA,2021-04-09T00:00:00
159,25,PAVIMENTAÇÃO,249,RETIRADA DE MATERIAIS - SERVICOS,RUA EXP GUILHERME BRASILEIRO,250,IPUTINGA,4,2021-04-09T00:00:00,CADASTRADA,2021-04-09T00:00:00
160,27,POSTE,29,REPOSICAO DESL. E RET. DE POSTE,RUA CORONEL MARIO LIBORIO,S/N,CAMPINA DO BARRETO,2,2021-04-09T00:00:00,ATENDIDA,2021-04-09T00:00:00
161,28,PRAÇAS,43,CAPINACAO DE PRACAS AREAS VERD,RUA  DAGOBERTO PIRES,SN,BRASILIA TEIMOSA,6,2021-04-09T00:00:00,CADASTRADA,2021-04-09T00:00:00
162,28,PRAÇAS,43,CAPINACAO DE PRACAS AREAS VERD,RUA  FRANCISCO DE PAULA MACHADO,S/N,CORDEIRO,4,2021-04-09T00:00:00,CADASTRADA,2021-04-09T00:00:00
163,28,PRAÇAS,90,LIMPEZA DE PRACAS,AV GOVERNADOR AGAMENON MAGALHAES,206,SANTO AMARO,1,2021-04-09T00:00:00,CADASTRADA,2021-04-09T00:00:00
164,33,VÃO DE REDE,241,REPOSICAO VAO DE REDE,RUA MAESTRO GILBERTO FREYRE,S/N,VARZEA,4,2021-04-09T00:00:00,ATENDIDA,2021-04-09T00:00:00
